Feature,Importance
Away_GF,0.002276680678805052
Home_OverallGoalsPerMatch,0.00225336077315651
Home_TotalGD,0.0022275027177094823
Away_xGD/90,0.0022070801898757056
Home_Touches,0.002196746179817964
Away_D,0.002184354491235345
Away_xGD,0.002174344056187735
Away_Live,0.0021664853910360864
Home_OverallGoalsConcededPerMatch,0.002127106228390242
Home_HomeGoalsConcededPerMatch,0.00212380346535007
Home_GF,0.0020588089285223186
Away_A_Pts/MP,0.002045617537035217
Away_OverallGoalsConcededPerMatch,0.0020432856924631915
Home_A_L,0.002010912825930537
Away_HomeGoalsConcededPerMatch,0.0019874299141305297
Away_TotalGA,0.0019414137891200737
Home_A_xGD/90,0.0019347746984929525
Home_A_GF,0.0019276737469965588
Away_GD,0.0019199444764136642
Home_AwayGoalsConcededPerMatch,0.001811242476077199
Away_TotalGD,0.001750215790093261
Away_Poss,0.0017144687642079983
Home_Rk,0.0017123759964389996
Home_TotalGA,0.0016870779725646295
Away_GA,0.0016789151981029668
Home_A_Pts/MP,0.0016259597856592652
Home_TotalL,0.0015960560312873852
Home_AwayGoalsPerMatch,0.0015803092748448385
Home_TotalGF,0.0015741481310538785
Home_TotalW,0.0015521727845439646
Away_Pts/MP,0.0015264016102887878
Away_OverallGoalsPerMatch,0.0014935880970640273
Away_HomeGoalsPerMatch,0.0014260891842167952
Away_Pts,0.0014076010191359518
Away_HomePointsPerMatch,0.0013845223795317656
Away_OverallWinRate,0.001375616451643136
Away_TotalGF,0.0013694740561563542
Home_A_Pts,0.0012806770966725075
Home_OverallPointsPerMatch,0.0012737250984682148
Away_L,0.0012022121422318886
Away_W,0.0011948765574761732
Away_TotalPts,0.0011474973603086691
Away_TotalW,0.0011468941596748947
Away_Rk,0.0011427493195881712
Home_AwayPointsPerMatch,0.0011222395683642917
Home_OverallWinRate,0.0011141928997474475
Home_TotalPts,0.001079526484021191
Home_AwayWinRate,0.0010024386450843367
Away_OverallPointsPerMatch,0.001001797549870394
Home_A_W,0.0009018336419979231
Away_HomeWinRate,0.0007877581748885819
Home_MP,0.0
Home_TotalMP,0.0
Home_A_MP,0.0
Away_MP,0.0
Away_A_MP,0.0
Away_TotalMP,0.0
Diff_MP,0.0
Diff_A_MP,0.0
Diff_TotalMP,0.0
