Season,Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
2023-2024,Fulham,25,38.0,16311,20237,80.6,290238,100538,40,37.6,33.6,2.4,379,1117,355,94,1467
2023-2024,Liverpool,30,38.0,20376,24379,83.6,346550,118702,60,63.7,55.6,-3.7,598,1666,506,80,2110
2023-2024,Luton Town,28,38.0,11048,15099,73.2,201475,81352,33,29.5,27.5,3.5,315,835,250,90,1113
2023-2024,Manchester City,25,38.0,24616,27758,88.7,394064,112270,69,60.2,62.1,8.8,545,1890,484,65,2060
2023-2024,Manchester Utd,31,38.0,15785,19538,80.8,260507,91226,36,40.1,34.6,-4.1,434,1202,338,50,1479
2023-2024,Newcastle Utd,32,38.0,16117,19852,81.2,274265,96401,55,51.3,43.5,3.7,424,1107,380,76,1557
2023-2024,Nott'ham Forest,33,38.0,11877,15679,75.8,210025,83097,43,37.9,27.8,5.1,325,905,244,61,1141
2023-2024,Sheffield Utd,35,38.0,9531,13509,70.6,169894,71337,18,25.8,21.0,-7.8,257,701,198,48,884
2023-2024,Tottenham,29,38.0,20649,24197,85.3,326221,111380,58,57.4,52.1,0.6,460,1588,454,65,2107
2023-2024,West Ham,26,38.0,12568,16373,76.8,219336,85575,40,34.8,30.8,5.2,305,979,225,71,1207
2023-2024,Wolves,27,38.0,15484,19175,80.8,255933,84649,36,31.8,27.6,4.2,316,910,239,61,1180
2024-2025,Arsenal,25,33.0,14734,17533,84.0,241212,76131,48,39.8,40.0,8.2,368,1201,387,65,1609
2024-2025,Aston Villa,28,33.0,13074,15753,83.0,223004,77282,41,37.7,32.9,3.3,324,1015,282,50,1174
2024-2025,Bournemouth,29,33.0,11092,14548,76.2,201485,75762,37,40.3,32.1,-3.3,397,1085,294,87,1318
2024-2025,Brentford,28,33.0,11699,14970,78.1,214210,81819,37,36.1,33.4,0.9,286,966,285,78,1180
2024-2025,Brighton,31,33.0,13750,16678,82.4,234298,79787,33,35.3,33.6,-2.3,319,1030,295,79,1332
2024-2025,Chelsea,29,33.0,16102,18956,84.9,278242,87547,43,47.6,38.4,-4.6,416,1339,324,68,1430
2024-2025,Crystal Palace,29,33.0,10457,13865,75.4,187829,70270,31,37.6,29.8,-6.6,319,789,234,58,1013
2024-2025,Everton,26,33.0,9617,12752,75.4,182164,72835,20,27.2,23.8,-7.2,264,863,226,75,881
2024-2025,Fulham,26,33.0,14072,17208,81.8,251541,85143,40,33.1,30.1,6.9,335,1157,278,84,1338
2024-2025,Ipswich Town,32,33.0,9966,12833,77.7,177106,67643,24,21.0,18.4,3.0,238,747,145,43,804
2024-2025,Leicester City,30,33.0,12169,15303,79.5,203465,73423,21,22.2,21.9,-1.2,220,862,193,61,954
2024-2025,Liverpool,24,33.0,15906,18922,84.1,270688,90982,56,52.7,46.4,3.3,442,1391,386,75,1673
2024-2025,Manchester City,29,33.0,18797,21297,88.3,304576,85625,46,48.1,46.6,-2.1,414,1449,377,54,1675
2024-2025,Manchester Utd,31,33.0,14564,17681,82.4,239574,77647,24,32.5,29.9,-8.5,334,979,272,61,1215
2024-2025,Newcastle Utd,24,33.0,13192,16246,81.2,222213,78565,46,40.4,35.7,5.6,335,954,315,61,1316
2024-2025,Nott'ham Forest,23,32.0,8903,11870,75.0,151827,61899,36,28.6,25.3,7.4,289,779,199,49,925
2024-2025,Southampton,35,33.0,13896,16545,84.0,235235,75723,14,22.5,21.4,-8.5,248,900,199,54,1023
2024-2025,Tottenham,31,32.0,14677,17573,83.5,242148,82196,44,39.6,32.9,4.4,343,1141,337,73,1437
2024-2025,West Ham,27,33.0,12567,15642,80.3,220745,78264,21,29.3,27.3,-8.3,291,931,236,64,1056
2024-2025,Wolves,30,33.0,12124,15094,80.3,207249,71158,36,30.5,22.5,5.5,268,865,239,60,1010
