Season,Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP
2022-2023,Brighton,29,26.3,60.2,38,418,3420,38.0,68,46,114,62,6,6,58,0.0,73.3,68.9,52.2,121.2,809,1849
2022-2023,Chelsea,32,26.3,58.7,38,418,3420,38.0,37,27,64,34,3,3,81,3.0,49.5,47.2,38.6,85.8,829,1737
2022-2023,Crystal Palace,26,26.7,46.3,38,418,3420,38.0,38,29,67,37,1,3,82,3.0,39.3,36.8,29.0,65.8,556,1243
2022-2023,Everton,28,26.6,42.8,38,418,3420,38.0,32,24,56,29,3,3,81,2.0,45.2,42.8,32.4,75.1,500,1052
2022-2023,Fulham,29,28.2,48.8,38,418,3420,38.0,52,33,85,47,5,9,80,1.0,46.2,39.1,28.5,67.7,663,1326
2022-2023,Leeds United,29,25.3,47.0,38,418,3420,38.0,45,31,76,44,1,3,89,3.0,47.3,44.9,31.8,76.7,555,1429
2022-2023,Leicester City,28,26.1,47.7,38,418,3420,38.0,49,36,85,46,3,6,63,2.0,50.5,45.7,38.4,84.1,580,1304
2022-2023,Liverpool,28,27.4,60.8,38,418,3420,38.0,71,58,129,69,2,4,57,1.0,71.5,68.4,55.6,124.1,719,1992
2022-2023,Manchester City,24,27.2,64.7,38,418,3420,38.0,92,69,161,83,9,10,44,1.0,78.6,71.1,57.5,128.6,988,2073
2022-2023,Manchester Utd,26,26.9,53.7,38,418,3420,38.0,56,42,98,53,3,3,78,2.0,67.7,65.3,52.2,117.5,711,1595
2022-2023,Newcastle Utd,27,27.3,52.3,38,418,3420,38.0,64,42,106,58,6,6,61,1.0,71.9,67.3,51.8,119.1,695,1618
2022-2023,Nott'ham Forest,33,26.5,37.6,38,418,3420,38.0,36,22,58,33,3,6,84,0.0,39.3,34.6,26.3,61.0,436,859
2022-2023,Southampton,36,24.7,44.5,38,418,3420,38.0,36,25,61,34,2,4,73,0.0,37.8,34.6,28.1,62.7,588,1125
2022-2023,Tottenham,29,27.6,50.0,38,418,3420,38.0,68,46,114,63,5,6,77,3.0,57.0,52.3,43.0,95.4,692,1449
2022-2023,West Ham,25,28.2,42.1,38,418,3420,38.0,41,25,66,35,6,8,44,0.0,49.2,43.7,32.7,76.4,615,1274
2022-2023,Wolves,32,26.7,49.9,38,418,3420,38.0,28,12,40,25,3,3,85,6.0,36.8,34.5,25.4,60.0,610,1343
2023-2024,Arsenal,25,25.0,58.2,38,418,3420,38.0,86,62,148,76,10,10,64,2.0,76.1,68.5,55.3,123.8,821,2106
2023-2024,Aston Villa,31,26.9,53.1,38,418,3420,38.0,72,55,127,68,4,4,94,2.0,63.3,60.3,48.6,108.9,775,1451
2023-2024,Bournemouth,30,25.7,44.4,38,418,3420,38.0,52,39,91,50,2,3,79,3.0,55.9,53.6,40.5,94.0,709,1314
2023-2024,Brentford,28,26.6,45.2,38,418,3420,38.0,54,38,92,51,3,3,89,2.0,58.2,56.0,42.7,98.8,505,1283
2023-2024,Brighton,30,25.9,59.8,38,418,3420,38.0,50,36,86,45,5,6,90,3.0,56.8,52.2,41.6,93.8,864,1780
2023-2024,Burnley,31,24.5,47.4,38,418,3420,38.0,40,30,70,37,3,3,77,7.0,40.6,38.3,29.7,68.0,727,1181
2023-2024,Chelsea,32,24.2,58.6,38,418,3420,38.0,76,51,127,65,11,12,109,4.0,74.5,65.1,51.4,116.5,873,1615
2023-2024,Crystal Palace,26,26.7,42.3,38,418,3420,38.0,56,43,99,52,4,4,73,2.0,48.6,45.4,38.7,84.1,506,1176
2023-2024,Everton,26,27.1,40.8,38,418,3420,38.0,40,17,57,38,2,3,82,1.0,54.0,51.6,38.1,89.8,495,1129
2023-2024,Fulham,25,28.4,50.6,38,418,3420,38.0,54,40,94,52,2,2,84,4.0,50.8,49.2,37.6,86.8,670,1467
2023-2024,Liverpool,30,26.3,61.3,38,418,3420,38.0,80,60,140,74,6,9,69,5.0,87.8,80.4,63.7,144.1,924,2110
2023-2024,Luton Town,28,26.7,42.4,38,418,3420,38.0,49,33,82,44,5,5,71,0.0,42.4,38.6,29.5,68.2,675,1113
2023-2024,Manchester City,25,26.6,65.2,38,418,3420,38.0,94,69,163,85,9,10,53,2.0,80.5,72.9,60.2,133.1,1127,2060
2023-2024,Manchester Utd,31,26.1,50.6,38,418,3420,38.0,57,36,93,51,6,7,83,1.0,56.5,51.0,40.1,91.0,758,1479
2023-2024,Newcastle Utd,32,27.2,52.2,38,418,3420,38.0,83,55,138,75,8,9,79,1.0,76.0,69.0,51.3,120.3,737,1557
2023-2024,Nott'ham Forest,33,25.7,40.6,38,418,3420,38.0,49,43,92,48,1,1,82,3.0,49.9,49.1,37.9,87.0,601,1141
2023-2024,Sheffield Utd,35,25.7,35.8,38,418,3420,38.0,31,18,49,26,5,5,101,5.0,38.3,34.5,25.8,60.3,346,884
2023-2024,Tottenham,29,25.2,61.6,38,418,3420,38.0,69,58,127,67,2,2,92,4.0,68.2,66.7,57.4,124.1,957,2107
2023-2024,West Ham,26,28.3,41.1,38,418,3420,38.0,58,40,98,54,4,5,82,3.0,52.3,48.4,34.8,83.2,556,1207
2023-2024,Wolves,27,26.6,48.9,38,418,3420,38.0,47,36,83,43,4,4,102,4.0,46.7,43.6,31.8,75.4,671,1180
2024-2025,Arsenal,25,26.6,56.8,33,363,2970,33.0,59,48,107,57,2,2,63,5.0,51.8,50.3,39.8,90.1,739,1609
2024-2025,Aston Villa,28,27.8,51.4,33,363,2970,33.0,51,41,92,49,2,5,65,2.0,50.6,46.6,37.7,84.3,633,1174
2024-2025,Bournemouth,29,25.8,48.0,33,363,2970,33.0,51,37,88,45,6,7,84,1.0,59.0,53.5,40.3,93.8,660,1318
