Season,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,A_MP,A_W,A_D,A_L,A_GF,A_GA,A_GD,A_Pts,A_Pts/MP,A_xG,A_xGA,A_xGD,A_xGD/90
2022-2023,8,Tottenham,19,12,1,6,37,25,12,37,1.95,31.1,20.5,10.6,0.56,19,6,5,8,33,38,-5,23,1.21,25.9,29.1,-3.2,-0.17
2022-2023,9,Brentford,19,10,7,2,35,18,17,37,1.95,32.8,20.9,11.8,0.62,19,5,7,7,23,28,-5,22,1.16,23.5,27.8,-4.4,-0.23
2022-2023,10,Fulham,19,8,5,6,31,29,2,29,1.53,24.3,29.7,-5.4,-0.29,19,7,2,10,24,24,0,23,1.21,21.9,33.9,-12.0,-0.63
2022-2023,11,Crystal Palace,19,7,7,5,21,23,-2,28,1.47,20.3,23.2,-2.9,-0.15,19,4,5,10,19,26,-7,17,0.89,18.9,24.8,-5.9,-0.31
2022-2023,12,Chelsea,19,6,7,6,20,19,1,25,1.32,27.3,23.7,3.7,0.19,19,5,4,10,18,28,-10,19,1.0,22.1,28.8,-6.7,-0.35
2022-2023,13,Wolves,19,9,3,7,19,20,-1,30,1.58,21.1,26.5,-5.4,-0.29,19,2,5,12,12,38,-26,11,0.58,15.7,33.3,-17.6,-0.93
2022-2023,14,West Ham,19,8,4,7,26,24,2,28,1.47,27.3,24.5,2.8,0.15,19,3,3,13,16,31,-15,12,0.63,21.8,28.5,-6.7,-0.35
2022-2023,15,Bournemouth,19,6,4,9,20,28,-8,22,1.16,22.1,28.4,-6.3,-0.33,19,5,2,12,17,43,-26,17,0.89,16.3,35.3,-19.0,-1.0
2022-2023,16,Nott'ham Forest,19,8,6,5,27,24,3,30,1.58,23.3,30.5,-7.2,-0.38,19,1,5,13,11,44,-33,8,0.42,16.0,33.7,-17.7,-0.93
2022-2023,17,Everton,19,6,3,10,16,27,-11,21,1.11,23.4,26.7,-3.3,-0.17,19,2,9,8,18,30,-12,15,0.79,21.7,38.8,-17.1,-0.9
2022-2023,18,Leicester City,19,5,4,10,23,27,-4,19,1.0,21.3,26.3,-5.0,-0.26,19,4,3,12,28,41,-13,15,0.79,29.2,36.9,-7.8,-0.41
2022-2023,19,Leeds United,19,5,7,7,26,37,-11,22,1.16,25.2,32.7,-7.5,-0.4,19,2,3,14,22,41,-19,9,0.47,22.1,34.4,-12.2,-0.64
2022-2023,20,Southampton,19,2,5,12,19,37,-18,11,0.58,20.5,29.8,-9.3,-0.49,19,4,2,13,17,36,-19,14,0.74,17.3,31.0,-13.7,-0.72
2023-2024,1,Manchester City,19,14,5,0,51,16,35,47,2.47,40.7,14.0,26.7,1.41,19,14,2,3,45,18,27,44,2.32,39.8,21.6,18.2,0.96
2023-2024,2,Arsenal,19,15,2,2,48,16,32,47,2.47,43.5,13.5,30.0,1.58,19,13,3,3,43,13,30,42,2.21,32.6,14.5,18.2,0.96
2023-2024,3,Liverpool,19,15,3,1,49,17,32,48,2.53,54.7,17.6,37.1,1.95,19,9,7,3,37,24,13,34,1.79,33.0,28.1,4.9,0.26
2023-2024,4,Aston Villa,19,12,4,3,48,28,20,40,2.11,39.0,26.3,12.7,0.67,19,8,4,7,28,33,-5,28,1.47,24.3,33.6,-9.3,-0.49
